grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,low,10,0.6,0.13249737942901194,0.32999999999999996,0.10959521481849065,0.32999999999999996,0.14146063449281965,0.54531934431429,0.04738043918919148,0.6123769515364735,0.48674568022035986,0.16543615027136996,0.06818447787121022,0.8298537488196803,0.2509081128938969,0.6313409957698869,0.5976823990834733,0.34310162094144725,0.24556655365129282,0.191919185577026,4.0,1.9,2.29,3.25,6.529999999999999,6.35,4.59,2.4899999999999998,3.9200000000000004,6.029999999999999,10.84,5.6899999999999995,1.04
7,0.2,low,10,0.49000000000000005,0.15162087220725545,0.16999999999999998,0.10333333333333335,0.33999999999999997,0.14544949486180953,0.5157419850284922,0.07372424395101415,0.5743443868215035,0.2539399979728317,0.098863134626856,0.06972079328385945,0.7720974493496817,0.34983716489288597,0.7392567447228554,0.5172239674902274,0.3845419648839657,0.26723106100733574,0.2142285027878122,3.9,2.3,2.83,1.75,6.88,8.18,6.21,2.59,3.1399999999999997,5.57,14.190000000000001,4.5200000000000005,2.1100000000000003
7,0.4,low,10,0.31,0.127758452644912,0.05,0.049999999999999996,0.12,0.05925462944877059,0.2685761461364614,0.047677698129436154,0.3033056450093711,0.2141279775820521,0.02456923988233286,0.02456923988233286,0.7591158706718499,0.49786311972524705,0.7472705894599544,0.3148092824511531,0.5329270262257907,0.2212740559687992,0.2569513388043222,5.8,2.2,3.75,3.8600000000000003,10.64,10.33,11.61,3.8,4.529999999999999,6.55,24.21,4.55,1.6199999999999999
7,0.6,low,10,0.26,0.11469767022723501,0.05,0.040138648595974324,0.22999999999999998,0.13,0.28885106300672,0.04073229935491843,0.30468537538350615,0.2415646433637438,0.02596761133603239,0.023515610143162054,0.8124741347063094,0.415491841880465,0.8411509942787593,0.27775682050940426,0.4395829767261592,0.2798381282033036,0.33224249584451676,5.2,2.3,3.66,3.38,12.01,5.79,10.14,3.3600000000000003,3.4799999999999995,5.529999999999999,20.740000000000002,4.01,1.9100000000000001
9,0.0,low,10,0.38,0.1271918935222594,0.25,0.09803627446568494,0.5,0.12649110640673517,0.6208578163566882,0.04331631871559439,0.6713467409861105,0.42055080690326924,0.12316436323630095,0.04654967264393216,0.8086434073520735,0.3415167281955635,0.7098458049047052,0.4128200412870199,0.33563805363626165,0.19757482614744495,0.12464940463445048,5.8,2.6,3.6399999999999997,1.89,9.2,9.72,7.589999999999999,3.41,3.75,8.2,13.629999999999999,7.909999999999999,0.63
9,0.2,low,10,0.5599999999999999,0.15719768163402129,0.13,0.09433981132056604,0.27999999999999997,0.1364632632697248,0.4419496623266279,0.025476846234255144,0.525750289229245,0.23461630054842061,0.043057966540580375,0.03226365611886606,0.9722006828028326,0.38633368695678516,0.8532309077843863,0.6105509102074834,0.32754099367356704,0.26345335749228577,0.20222436434636695,5.9,2.1,3.53,3.12,14.85,11.830000000000002,11.209999999999999,5.0200000000000005,4.18,10.8,24.240000000000002,8.28,1.64
9,0.4,low,10,0.47000000000000003,0.14067298564006128,0.06999999999999999,0.0334995854037363,0.42000000000000004,0.14360439485692011,0.4342430556423428,0.042682548753391156,0.49972636211184096,0.24844585549688541,0.03172614741580258,0.014462179839777009,0.914639693264481,0.3460844090885938,0.8288271709404018,0.6176809280978508,0.3501920694525907,0.33263964572503457,0.2274366987831698,5.7,2.4,2.75,2.8200000000000003,15.309999999999999,10.18,12.370000000000001,4.09,3.71,9.5,22.84,7.45,1.59
9,0.6,low,10,0.15,0.08975274678557507,0.02,0.02,0.35,0.12845232578665128,0.33343616639406337,0.036320453678537416,0.3444695969005989,0.14779391614140863,0.008394736842105264,0.008394736842105264,1.0292763173724642,0.4800665596515077,1.0435073069542562,0.25938839407260866,0.46606411396920555,0.19431007813802118,0.23510845492721022,5.4,4.7,3.5700000000000003,3.84,15.779999999999998,13.05,13.959999999999999,4.86,5.65,10.77,28.909999999999997,7.159999999999999,1.1800000000000002
11,0.0,low,10,0.36,0.14772346537440226,0.18,0.12092238098144703,0.24,0.13012814197295425,0.592925561091936,0.041953585359949745,0.6219924430516619,0.24121994072615288,0.05777647587343743,0.038917543302855476,0.6369944086770463,0.3530465318341688,0.6493455856482546,0.19031756626281132,0.370234976169774,0.27451994519669853,0.165945584452347,7.8,2.9,3.3199999999999994,1.55,20.919999999999998,21.65,15.12,3.9,3.06,24.36,34.96,23.04,1.4300000000000002
11,0.2,low,10,0.38,0.12000000000000001,0.16,0.08717797887081347,0.2,0.13333333333333333,0.46481998643259315,0.04808267259155963,0.47551705799131333,0.31659841573251407,0.05797878443531622,0.035292752326369636,0.7756261512657238,0.3996374284285385,0.7596862799256003,0.41337595295966506,0.4055394059840878,0.3277372148607737,0.20851364490353702,6.7,3.3,3.16,1.38,26.110000000000003,19.82,21.509999999999998,3.63,3.53,20.8,39.589999999999996,17.11,1.35
